unIDyearSite,uniqueIDYear,uniqueID,site,year,block,row,treat,seedl_nr,height,diam_mm,dateYear,mort_date,notes,mortality,mort_binar,waxQual,damage,percentDebark,waxHeight_cm,rootCol,origNotes,mort2,rank
B10R1_collarS_1_2018_nursery,B10R1_collarS_1_2018,B10R1_collarS_1,nursery,2018,10,1,collar,1,44,5.7,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_1_2019_nursery,B10R1_collarS_1_2019,B10R1_collarS_1,nursery,2019,10,1,collar,1,49,8.2,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_1_2020_nursery,B10R1_collarS_1_2020,B10R1_collarS_1,nursery,2020,10,1,collar,1,58,12.5,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_10_2018_nursery,B10R1_collarS_10_2018,B10R1_collarS_10,nursery,2018,10,1,collar,10,NA,NA,2018,2018,other,dead,1,NA,0,NA,NA,NA,dead,2018,NA
B10R1_collarS_2_2018_nursery,B10R1_collarS_2_2018,B10R1_collarS_2,nursery,2018,10,1,collar,2,71,11.1,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_2_2019_nursery,B10R1_collarS_2_2019,B10R1_collarS_2,nursery,2019,10,1,collar,2,72,15.4,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_2_2020_nursery,B10R1_collarS_2_2020,B10R1_collarS_2,nursery,2020,10,1,collar,2,85,22.9,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_3_2018_nursery,B10R1_collarS_3_2018,B10R1_collarS_3,nursery,2018,10,1,collar,3,61,9.6,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_3_2019_nursery,B10R1_collarS_3_2019,B10R1_collarS_3,nursery,2019,10,1,collar,3,70,15.2,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_3_2020_nursery,B10R1_collarS_3_2020,B10R1_collarS_3,nursery,2020,10,1,collar,3,83,22.9,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_4_2018_nursery,B10R1_collarS_4_2018,B10R1_collarS_4,nursery,2018,10,1,collar,4,57,7.8,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_4_2019_nursery,B10R1_collarS_4_2019,B10R1_collarS_4,nursery,2019,10,1,collar,4,61,12.6,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_4_2020_nursery,B10R1_collarS_4_2020,B10R1_collarS_4,nursery,2020,10,1,collar,4,76,19.3,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_5_2018_nursery,B10R1_collarS_5_2018,B10R1_collarS_5,nursery,2018,10,1,collar,5,55,9.6,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_5_2019_nursery,B10R1_collarS_5_2019,B10R1_collarS_5,nursery,2019,10,1,collar,5,60,14.5,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_5_2020_nursery,B10R1_collarS_5_2020,B10R1_collarS_5,nursery,2020,10,1,collar,5,81,25.8,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_6_2018_nursery,B10R1_collarS_6_2018,B10R1_collarS_6,nursery,2018,10,1,collar,6,62,8.9,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_6_2019_nursery,B10R1_collarS_6_2019,B10R1_collarS_6,nursery,2019,10,1,collar,6,70,16.4,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_6_2020_nursery,B10R1_collarS_6_2020,B10R1_collarS_6,nursery,2020,10,1,collar,6,84,23.1,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_7_2018_nursery,B10R1_collarS_7_2018,B10R1_collarS_7,nursery,2018,10,1,collar,7,66,8.8,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_7_2019_nursery,B10R1_collarS_7_2019,B10R1_collarS_7,nursery,2019,10,1,collar,7,72,10.8,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_7_2020_nursery,B10R1_collarS_7_2020,B10R1_collarS_7,nursery,2020,10,1,collar,7,83,17.8,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_8_2018_nursery,B10R1_collarS_8_2018,B10R1_collarS_8,nursery,2018,10,1,collar,8,79,10.7,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
