uniqueID,site,year,block,row,treat,seedl_nr,height,diam_mm,damage,percentDebark,mort_date,mort_binar,notes,waxHeight_cm,rootCol,waxQual,origNotes,mort2,uniqueIDYear,unIDyearSite,transDamage.x.t,transDamage.x
B10R1chemicalS1,clearcut,2018,10,1,chemical,1,0,0,0,0,2018,1,other,0,,0,other,1,B10R1chemicalS1_2018,B10R1chemicalS1_2018_clearcut,-0.593674658,0
B10R1chemicalS10,clearcut,2018,10,1,chemical,10,31,5.1,10,10,0,0,alive,0,,0,alive,0,B10R1chemicalS10_2018,B10R1chemicalS10_2018_clearcut,-0.274589984,10
B10R1chemicalS10,clearcut,2019,10,1,chemical,10,37,6.7,0,0,0,0,alive,0,,0,alive,0,B10R1chemicalS10_2019,B10R1chemicalS10_2019_clearcut,-0.593674658,0
B10R1chemicalS10,clearcut,2020,10,1,chemical,10,59,12.6,0,0,0,0,alive,0,,0,alive,0,B10R1chemicalS10_2020,B10R1chemicalS10_2020_clearcut,-0.593674658,0
B10R1chemicalS2,clearcut,2018,10,1,chemical,2,0,0,20,10,2018,1,other,0,,0,other,1,B10R1chemicalS2_2018,B10R1chemicalS2_2018_clearcut,-0.142420785,20
B10R1chemicalS3,clearcut,2018,10,1,chemical,3,27,4.5,0,0,0,0,alive,0,,0,alive,0,B10R1chemicalS3_2018,B10R1chemicalS3_2018_clearcut,-0.593674658,0
B10R1chemicalS3,clearcut,2019,10,1,chemical,3,33,5.2,0,0,0,0,alive,0,,0,alive,0,B10R1chemicalS3_2019,B10R1chemicalS3_2019_clearcut,-0.593674658,0
B10R1chemicalS3,clearcut,2020,10,1,chemical,3,50,7.4,0,0,0,0,alive,0,,0,alive,0,B10R1chemicalS3_2020,B10R1chemicalS3_2020_clearcut,-0.593674658,0
B10R1chemicalS4,clearcut,2018,10,1,chemical,4,0,0,30,20,2018,1,other,0,,0,other,1,B10R1chemicalS4_2018,B10R1chemicalS4_2018_clearcut,-0.041003791,30
B10R1chemicalS5,clearcut,2018,10,1,chemical,5,65,9.2,10,10,0,0,alive,0,,0,alive,0,B10R1chemicalS5_2018,B10R1chemicalS5_2018_clearcut,-0.274589984,10
B10R1chemicalS5,clearcut,2019,10,1,chemical,5,0,0,0,0,2019,1,other,0,,0,other,1,B10R1chemicalS5_2019,B10R1chemicalS5_2019_clearcut,-0.593674658,0
B10R1chemicalS6,clearcut,2018,10,1,chemical,6,0,0,0,0,2018,1,other,0,,0,other,1,B10R1chemicalS6_2018,B10R1chemicalS6_2018_clearcut,-0.593674658,0
B10R1chemicalS7,clearcut,2018,10,1,chemical,7,35,5.3,0,0,0,0,alive,0,,0,alive,0,B10R1chemicalS7_2018,B10R1chemicalS7_2018_clearcut,-0.593674658,0
B10R1chemicalS7,clearcut,2019,10,1,chemical,7,41,7.4,0,0,0,0,alive,0,,0,alive,0,B10R1chemicalS7_2019,B10R1chemicalS7_2019_clearcut,-0.593674658,0
B10R1chemicalS7,clearcut,2020,10,1,chemical,7,60,10.9,0,0,0,0,alive,0,,0,alive,0,B10R1chemicalS7_2020,B10R1chemicalS7_2020_clearcut,-0.593674658,0
B10R1chemicalS8,clearcut,2018,10,1,chemical,8,0,0,20,0,2018,1,other,0,,0,other,1,B10R1chemicalS8_2018,B10R1chemicalS8_2018_clearcut,-0.142420785,20
B10R1chemicalS9,clearcut,2018,10,1,chemical,9,0,0,0,10,2018,1,other,0,,0,other,1,B10R1chemicalS9_2018,B10R1chemicalS9_2018_clearcut,-0.593674658,0
B10R2collarS1,clearcut,2018,10,2,collar,1,0,0,0,0,2018,1,Hylastes,0,,0,Hylastes,1,B10R2collarS1_2018,B10R2collarS1_2018_clearcut,-0.593674658,0
B10R2collarS10,clearcut,2018,10,2,collar,10,29,4.8,0,0,0,0,alive,0,,0,alive,0,B10R2collarS10_2018,B10R2collarS10_2018_clearcut,-0.593674658,0
B10R2collarS10,clearcut,2019,10,2,collar,10,34,5.7,120,0,0,0,alive,0,,0,alive,0,B10R2collarS10_2019,B10R2collarS10_2019_clearcut,0.511667075,120
B10R2collarS10,clearcut,2020,10,2,collar,10,48,9.1,0,0,0,0,alive,0,O,0,terminal,0,B10R2collarS10_2020,B10R2collarS10_2020_clearcut,-0.593674658,0
B10R2collarS2,clearcut,2018,10,2,collar,2,30,4.6,0,0,0,0,alive,0,,0,terminal,0,B10R2collarS2_2018,B10R2collarS2_2018_clearcut,-0.593674658,0
B10R2collarS2,clearcut,2019,10,2,collar,2,0,0,0,0,2019,1,Hylastes,0,,0,Hylastes,1,B10R2collarS2_2019,B10R2collarS2_2019_clearcut,-0.593674658,0
B10R2collarS3,clearcut,2018,10,2,collar,3,0,0,0,0,2018,1,other,0,,0,other,1,B10R2collarS3_2018,B10R2collarS3_2018_clearcut,-0.593674658,0
B10R2collarS4,clearcut,2018,10,2,collar,4,0,0,0,0,2018,1,Hylastes,0,,0,Hylastes,1,B10R2collarS4_2018,B10R2collarS4_2018_clearcut,-0.593674658,0
B10R2collarS5,clearcut,2018,10,2,collar,5,39,6.6,0,0,0,0,alive,0,SH,0,alive,0,B10R2collarS5_2018,B10R2collarS5_2018_clearcut,-0.593674658,0
B10R2collarS5,clearcut,2019,10,2,collar,5,47,9,150,50,0,0,alive,0,,0,alive,0,B10R2collarS5_2019,B10R2collarS5_2019_clearcut,0.642134969,150
B10R2collarS5,clearcut,2020,10,2,collar,5,67,12.7,0,0,0,0,alive,0,O,0,alive,0,B10R2collarS5_2020,B10R2collarS5_2020_clearcut,-0.593674658,0
B10R2collarS6,clearcut,2018,10,2,collar,6,35,4.5,0,0,0,0,alive,0,,0,alive,0,B10R2collarS6_2018,B10R2collarS6_2018_clearcut,-0.593674658,0
B10R2collarS6,clearcut,2019,10,2,collar,6,40,5.5,180,70,0,0,alive,0,,0,alive,0,B10R2collarS6_2019,B10R2collarS6_2019_clearcut,0.760086961,180
B10R2collarS6,clearcut,2020,10,2,collar,6,44,6.3,0,0,0,0,alive,0,Z,0,alive,0,B10R2collarS6_2020,B10R2collarS6_2020_clearcut,-0.593674658,0
B10R2collarS7,clearcut,2018,10,2,collar,7,42,8.5,40,20,0,0,alive,0,,0,bad condition,0,B10R2collarS7_2018,B10R2collarS7_2018_clearcut,0.044494689,40
B10R2collarS7,clearcut,2019,10,2,collar,7,0,0,0,0,2019,1,Hylastes,0,,0,Hylastes,1,B10R2collarS7_2019,B10R2collarS7_2019_clearcut,-0.593674658,0
B10R2collarS8,clearcut,2018,10,2,collar,8,32,6,0,0,0,0,alive,0,,0,alive,0,B10R2collarS8_2018,B10R2collarS8_2018_clearcut,-0.593674658,0
B10R2collarS8,clearcut,2019,10,2,collar,8,40,9.3,20,10,0,0,alive,0,,0,alive,0,B10R2collarS8_2019,B10R2collarS8_2019_clearcut,-0.142420785,20
B10R2collarS8,clearcut,2020,10,2,collar,8,68,13.7,0,0,0,0,alive,0,Z,0,alive,0,B10R2collarS8_2020,B10R2collarS8_2020_clearcut,-0.593674658,0
B10R2collarS9,clearcut,2018,10,2,collar,9,0,0,0,0,2018,1,Hylastes,0,,0,Hylastes,1,B10R2collarS9_2018,B10R2collarS9_2018_clearcut,-0.593674658,0
B10R3wax FS1,clearcut,2018,10,3,wax F,1,0,0,0,0,2018,1,other,0,,1,other,1,B10R3wax FS1_2018,B10R3wax FS1_2018_clearcut,-0.593674658,0
B10R3wax FS10,clearcut,2018,10,3,wax F,10,0,0,0,0,2018,1,Hylastes,0,,0,Hylastes,1,B10R3wax FS10_2018,B10R3wax FS10_2018_clearcut,-0.593674658,0
B10R3wax FS2,clearcut,2018,10,3,wax F,2,35,7,0,0,0,0,alive,0,,0,alive,0,B10R3wax FS2_2018,B10R3wax FS2_2018_clearcut,-0.593674658,0
B10R3wax FS2,clearcut,2019,10,3,wax F,2,49,12,120,40,0,0,alive,0,,2,alive,0,B10R3wax FS2_2019,B10R3wax FS2_2019_clearcut,0.511667075,120
B10R3wax FS2,clearcut,2020,10,3,wax F,2,62,15.4,250,0,0,0,alive,0,,3,alive,0,B10R3wax FS2_2020,B10R3wax FS2_2020_clearcut,1.00174871,250
B10R3wax FS3,clearcut,2018,10,3,wax F,3,35,6.6,0,0,0,0,alive,0,,1,alive,0,B10R3wax FS3_2018,B10R3wax FS3_2018_clearcut,-0.593674658,0
B10R3wax FS3,clearcut,2019,10,3,wax F,3,49,11.2,350,80,0,0,alive,0,,3,alive,0,B10R3wax FS3_2019,B10R3wax FS3_2019_clearcut,1.294055728,350
B10R3wax FS3,clearcut,2020,10,3,wax F,3,57,13.3,200,0,0,0,alive,0,,4,alive,0,B10R3wax FS3_2020,B10R3wax FS3_2020_clearcut,0.833315383,200
B10R3wax FS4,clearcut,2018,10,3,wax F,4,50,9.5,0,0,0,0,alive,0,,1,alive,0,B10R3wax FS4_2018,B10R3wax FS4_2018_clearcut,-0.593674658,0
B10R3wax FS4,clearcut,2019,10,3,wax F,4,58,12,60,20,0,0,alive,0,,4,alive,0,B10R3wax FS4_2019,B10R3wax FS4_2019_clearcut,0.187919977,60
B10R3wax FS4,clearcut,2020,10,3,wax F,4,73,7.5,0,0,0,0,alive,0,,4,alive,0,B10R3wax FS4_2020,B10R3wax FS4_2020_clearcut,-0.593674658,0
B10R3wax FS5,clearcut,2018,10,3,wax F,5,40,7.5,0,0,0,0,alive,0,,0,alive,0,B10R3wax FS5_2018,B10R3wax FS5_2018_clearcut,-0.593674658,0
B10R3wax FS5,clearcut,2019,10,3,wax F,5,51,8.5,0,0,0,0,alive,0,,3,alive,0,B10R3wax FS5_2019,B10R3wax FS5_2019_clearcut,-0.593674658,0
B10R3wax FS5,clearcut,2020,10,3,wax F,5,74,11.7,0,0,0,0,alive,0,,4,alive,0,B10R3wax FS5_2020,B10R3wax FS5_2020_clearcut,-0.593674658,0
B10R3wax FS6,clearcut,2018,10,3,wax F,6,47,10.2,0,0,0,0,alive,0,,0,alive,0,B10R3wax FS6_2018,B10R3wax FS6_2018_clearcut,-0.593674658,0
