"","uniqueIDsite","unIDyearSite","uniqueIDYear","uniqueID","site","year","block","row","treat","seedl_nr","height","diam_mm","dateYear","mort_date","notes","mortality","mort_binar","waxQual","damage","percentDebark","waxHeight_cm","rootCol","origNotes","mort2","rank","sumDamage","sumMort","ZeroDam"
"1","B10R1chemicalS10 clearcut","B10R1chemicalS10_2018_clearcut","B10R1chemicalS10_2018","B10R1chemicalS10","clearcut",2018,10,1,"chemical",10,31,5.1,2018,0,"alive","alive",0,0,10,10,0,"","alive",0,1,10,0,1
"2","B10R1chemicalS2 clearcut","B10R1chemicalS2_2018_clearcut","B10R1chemicalS2_2018","B10R1chemicalS2","clearcut",2018,10,1,"chemical",2,0,NA,2018,2018,"Hylobius","dead",1,0,20,10,0,"","other",1,1,20,1,1
"3","B10R1chemicalS4 clearcut","B10R1chemicalS4_2018_clearcut","B10R1chemicalS4_2018","B10R1chemicalS4","clearcut",2018,10,1,"chemical",4,0,NA,2018,2018,"Hylobius","dead",1,0,30,20,0,"","other",1,1,30,1,1
"4","B10R1chemicalS5 clearcut","B10R1chemicalS5_2018_clearcut","B10R1chemicalS5_2018","B10R1chemicalS5","clearcut",2018,10,1,"chemical",5,65,9.2,2018,0,"alive","alive",0,0,10,10,0,"","alive",0,1,10,1,1
"5","B10R1chemicalS8 clearcut","B10R1chemicalS8_2018_clearcut","B10R1chemicalS8_2018","B10R1chemicalS8","clearcut",2018,10,1,"chemical",8,0,NA,2018,2018,"Hylobius","dead",1,0,20,0,0,"","other",1,1,20,1,1
"6","B10R2collarS10 clearcut","B10R2collarS10_2019_clearcut","B10R2collarS10_2019","B10R2collarS10","clearcut",2019,10,2,"collar",10,34,5.7,2019,0,"alive","alive",0,0,120,0,0,"","alive",0,1,120,0,1
"7","B10R2collarS5 clearcut","B10R2collarS5_2019_clearcut","B10R2collarS5_2019","B10R2collarS5","clearcut",2019,10,2,"collar",5,47,9,2019,0,"alive","alive",0,0,150,50,0,"","alive",0,1,150,0,1
"8","B10R2collarS6 clearcut","B10R2collarS6_2019_clearcut","B10R2collarS6_2019","B10R2collarS6","clearcut",2019,10,2,"collar",6,40,5.5,2019,0,"alive","alive",0,0,180,70,0,"","alive",0,1,180,0,1
"9","B10R2collarS7 clearcut","B10R2collarS7_2018_clearcut","B10R2collarS7_2018","B10R2collarS7","clearcut",2018,10,2,"collar",7,42,8.5,2018,0,"alive","alive",0,0,40,20,0,"","bad condition",0,1,40,1,1
"10","B10R2collarS8 clearcut","B10R2collarS8_2019_clearcut","B10R2collarS8_2019","B10R2collarS8","clearcut",2019,10,2,"collar",8,40,9.3,2019,0,"alive","alive",0,0,20,10,0,"","alive",0,1,20,0,1
"11","B10R3wax FS2 clearcut","B10R3wax FS2_2019_clearcut","B10R3wax FS2_2019","B10R3wax FS2","clearcut",2019,10,3,"wax F",2,49,12,2019,0,"alive","alive",0,2,120,40,0,"","alive",0,3,370,0,1
"12","B10R3wax FS2 clearcut","B10R3wax FS2_2020_clearcut","B10R3wax FS2_2020","B10R3wax FS2","clearcut",2020,10,3,"wax F",2,62,15.4,2020,0,"alive","alive",0,3,250,0,0,"","alive",0,4,370,0,1
"13","B10R3wax FS3 clearcut","B10R3wax FS3_2019_clearcut","B10R3wax FS3_2019","B10R3wax FS3","clearcut",2019,10,3,"wax F",3,49,11.2,2019,0,"alive","alive",0,3,350,80,0,"","alive",0,4,550,0,1
"14","B10R3wax FS3 clearcut","B10R3wax FS3_2020_clearcut","B10R3wax FS3_2020","B10R3wax FS3","clearcut",2020,10,3,"wax F",3,57,13.3,2020,0,"alive","alive",0,4,200,0,0,"","alive",0,5,550,0,1
"15","B10R3wax FS4 clearcut","B10R3wax FS4_2019_clearcut","B10R3wax FS4_2019","B10R3wax FS4","clearcut",2019,10,3,"wax F",4,58,12,2019,0,"alive","alive",0,4,60,20,0,"","alive",0,5,60,0,1
"16","B10R3wax FS6 clearcut","B10R3wax FS6_2019_clearcut","B10R3wax FS6_2019","B10R3wax FS6","clearcut",2019,10,3,"wax F",6,54,10.8,2019,0,"alive","alive",0,2,110,30,0,"","alive",0,3,110,0,1
"17","B10R3wax FS7 clearcut","B10R3wax FS7_2019_clearcut","B10R3wax FS7_2019","B10R3wax FS7","clearcut",2019,10,3,"wax F",7,47,8.2,2019,0,"alive","alive",0,2,30,10,0,"","alive",0,3,30,0,1
