"uniqueIDsite","unIDyearSite","uniqueIDYear","uniqueID","site","year","block","row","treat","seedl_nr","height","diam_mm","dateYear","mort_date","notes","mortality","mort_binar","waxQual","damage","percentDebark","waxHeight_cm","rootCol","origNotes","mort2","rank","sumDamage","sumMort","ZeroDam","bxcx.x.t","bxcx.x","x.t","x","mean","sd","n","norm_stat","standardize"
"B10R2collarS10 clearcut","B10R2collarS10_2019_clearcut","B10R2collarS10_2019","B10R2collarS10","clearcut",2019,10,2,"collar",10,34,5.7,2019,0,"alive","alive",0,0,120,0,0,"","alive",0,1,120,0,1,-0.324249810101533,120,-0.279845351198664,120,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R2collarS5 clearcut","B10R2collarS5_2019_clearcut","B10R2collarS5_2019","B10R2collarS5","clearcut",2019,10,2,"collar",5,47,9,2019,0,"alive","alive",0,0,150,50,0,"","alive",0,1,150,0,1,-0.1627477737364,150,-0.116052232879533,150,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R2collarS6 clearcut","B10R2collarS6_2019_clearcut","B10R2collarS6_2019","B10R2collarS6","clearcut",2019,10,2,"collar",6,40,5.5,2019,0,"alive","alive",0,0,180,70,0,"","alive",0,1,180,0,1,-0.0289314417086277,180,0.0177777455258481,180,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R2collarS7 clearcut","B10R2collarS7_2018_clearcut","B10R2collarS7_2018","B10R2collarS7","clearcut",2018,10,2,"collar",7,42,8.5,2018,0,"alive","alive",0,0,40,20,0,"","bad condition",0,1,40,1,1,-1.08408906271493,40,-1.08617575040892,40,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R2collarS8 clearcut","B10R2collarS8_2019_clearcut","B10R2collarS8_2019","B10R2collarS8","clearcut",2019,10,2,"collar",8,40,9.3,2019,0,"alive","alive",0,0,20,10,0,"","alive",0,1,20,0,1,-1.53467478118777,20,-1.5946342159955,20,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R3wax FS2 clearcut","B10R3wax FS2_2019_clearcut","B10R3wax FS2_2019","B10R3wax FS2","clearcut",2019,10,3,"wax F",2,49,12,2019,0,"alive","alive",0,2,120,40,0,"","alive",0,3,370,0,1,-0.324249810101533,120,-0.279845351198664,120,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R3wax FS2 clearcut","B10R3wax FS2_2020_clearcut","B10R3wax FS2_2020","B10R3wax FS2","clearcut",2020,10,3,"wax F",2,62,15.4,2020,0,"alive","alive",0,3,250,0,0,"","alive",0,4,370,0,1,0.216469801751026,250,0.25891222405536,250,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R3wax FS3 clearcut","B10R3wax FS3_2019_clearcut","B10R3wax FS3_2019","B10R3wax FS3","clearcut",2019,10,3,"wax F",3,49,11.2,2019,0,"alive","alive",0,3,350,80,0,"","alive",0,4,550,0,1,0.473660492266185,350,0.50589699789457,350,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R3wax FS3 clearcut","B10R3wax FS3_2020_clearcut","B10R3wax FS3_2020","B10R3wax FS3","clearcut",2020,10,3,"wax F",3,57,13.3,2020,0,"alive","alive",0,4,200,0,0,"","alive",0,5,550,0,1,0.0491701892538407,200,0.0951161697214249,200,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R3wax FS4 clearcut","B10R3wax FS4_2019_clearcut","B10R3wax FS4_2019","B10R3wax FS4","clearcut",2019,10,3,"wax F",4,58,12,2019,0,"alive","alive",0,4,60,20,0,"","alive",0,5,60,0,1,-0.81034232961773,60,-0.788609271765251,60,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
